epoch,loss,val_loss
0,4.920495510101318,4.651824474334717
1,4.714354038238525,4.583497524261475
2,4.619075775146484,4.531197547912598
3,4.528946399688721,4.48087215423584
4,4.455568790435791,4.44462251663208
5,4.38938570022583,4.429947853088379
6,4.326170921325684,4.427852153778076
7,4.271576404571533,4.4232072830200195
8,4.216575622558594,4.434605598449707
9,4.237314701080322,4.419305801391602
10,4.197643756866455,4.425974369049072
11,4.137484550476074,4.4312334060668945
12,4.107227325439453,4.456098556518555
13,4.101612091064453,4.482473373413086
14,4.092471122741699,4.498940467834473
15,4.075215816497803,4.514984607696533
16,4.055367946624756,4.514957427978516
17,4.030050277709961,4.523632049560547
18,4.009120941162109,4.536413669586182
19,3.9875235557556152,4.549247741699219
